split,index,project_name,primary_type,status,needed_artifact,evidence_artifacts,notes,question
valid,1,京橋信用ソリューションズ株式会社,image_graph,not_covered,unknown,,artifact missing or insufficient,KSSのfigure_06.pngにおいて、dayによる件数推移とあわせて表示されているTG平均が最も低い日は何日ですか。
valid,6,医療法人社団 恒一会 かえで総合病院,spreadsheet_state,partial,train_xlsx_visual_or_pivot,train_xlsx_sheets,"metadata exists, but chart/pivot/formula interpretation is still needed",恒一会 かえで総合病院のtrain.xlsx内の PivotTable で集計されている表から、ALPの平均が最も高いものの抽出条件を教えてください。
valid,7,医療法人社団 恒一会 かえで総合病院,spreadsheet_calc,not_covered,raw_table_calc,,requires CSV/table calculation engine outside current Excel artifacts,恒一会 かえで総合病院のプロジェクトデータ（train.csv）において、disease=1の女性の中で、ALT_GPTの平均値が最も高い年齢は何歳ですか。
valid,11,株式会社東都人材プラットフォーム,spreadsheet_state,partial,train_xlsx_visual_or_pivot,train_xlsx_sheets;train_xlsx_highlight_context,"metadata exists, but chart/pivot/formula interpretation is still needed",東都人材プラットフォームのtrain.xlsxにおいて、trainシートでフィルターで抽出されている条件を教えてください。
valid,13,青葉与信マネジメント株式会社,spreadsheet_calc,not_covered,raw_table_calc,,requires CSV/table calculation engine outside current Excel artifacts,青葉与信マネジメントの分析対象データにおいて、term=3 years、grade=B1、purpose=credit_cardに該当するloan_amntの平均を算出してください。四捨五入して整数値で出してください。
valid,21,株式会社青葉バイオメディカル機器,spreadsheet_state,partial,train_xlsx_visual_or_pivot,train_xlsx_sheets;train_xlsx_highlight_context,"metadata exists, but chart/pivot/formula interpretation is still needed",青葉バイオメディカル機器のtrain.xlsxのPivotシートにおいて、平均月収が最も高い層の抽出条件を答えてください。
valid,22,株式会社青潮モビリティサービス,notebook_output,not_covered,unknown,,artifact missing or insufficient,AOSHIOの NB01_eda.ipynbにおいて、観察結果サマリで出力されている「TGとの相関 上位5」の中で、相関係数が最も小さいカラム名を答えてください。
valid,24,白峰信用リスク評価株式会社,notebook_output,not_covered,unknown,,artifact missing or insufficient,白峰信用リスク評価の 01_eda.ipynb にある特徴量相関ヒートマップの図で可視化されている特徴量のうち、classとの相関係数の絶対値が最も小さい特徴量名を答えてください。
valid,26,株式会社青葉バイオメディカル機器,spreadsheet_calc,not_covered,raw_table_calc,,requires CSV/table calculation engine outside current Excel artifacts,青葉バイオメディカル機器のtrain.csvにおいて、EducationFieldがMarketingかつMonthlyIncomeが10000より大きいデータを抽出し、Ageの平均値を計算してください。その平均値に最も近い年齢のidをすべて答えてください。
valid,27,医療法人社団 蒼泉会 ひがし丘総合病院,analysis_metrics,not_covered,unknown,,artifact missing or insufficient,蒼泉会 ひがし丘総合病院案件において、中間報告資料に記載されたMacro F1スコアの詳細値と、最終分析出力metrics.jsonに記録されているMacro F1スコアの詳細値を用いて、改善幅を小数第6位まで答えてください。
