split,index,primary_type,project_name,coverage_status,coverage_reason,question
valid,6,spreadsheet_state,医療法人社団 恒一会 かえで総合病院,not_covered,train.xlsx extraction is not implemented yet,恒一会 かえで総合病院のtrain.xlsx内の PivotTable で集計されている表から、ALPの平均が最も高いものの抽出条件を教えてください。
valid,11,spreadsheet_state,株式会社東都人材プラットフォーム,not_covered,train.xlsx extraction is not implemented yet,東都人材プラットフォームのtrain.xlsxにおいて、trainシートでフィルターで抽出されている条件を教えてください。
valid,20,internal_terms,青葉与信マネジメント株式会社,covered_artifact,schedule rows extracted; query-specific computation still needed,AYMのPLにおいて、探索的分析・仮説整理フェーズに一致するタスクIDをすべて挙げてください。
valid,21,spreadsheet_state,株式会社青葉バイオメディカル機器,not_covered,train.xlsx extraction is not implemented yet,青葉バイオメディカル機器のtrain.xlsxのPivotシートにおいて、平均月収が最も高い層の抽出条件を答えてください。
test,2,version_diff,株式会社青嶺不動産アセットマネジメント,partial,"schedule rows extracted, but diff logic is not implemented",青嶺不動産アセットマネジメントのスケジュール_r2.xlsxにおいて、オレンジにハイライトされている行のタスク名をすべて答えてください。
test,10,spreadsheet_state,医療法人社団 恒一会 かえで総合病院,not_covered,train.xlsx extraction is not implemented yet,恒一会 かえで総合病院のtrain.xlsxにおいて、AG_ratioのヒストグラムで最も多いカウント数はいくつですか。
test,12,spreadsheet_state,医療法人社団 蒼泉会 ひがし丘総合病院,partial,"schedule rows may help, but the requested source is not the schedule workbook",蒼泉会 ひがし丘総合病院の報告資料_2025-07-08.docxにおいて、WBS観点の進捗状況の見出しがあるのは何ページですか。
test,15,spreadsheet_state,株式会社東都人材プラットフォーム,not_covered,train.xlsx extraction is not implemented yet,東都人材プラットフォームのtrain.xlsxにおいて、Sheet1の黄色にハイライトされたセルの抽出条件と集計内容を答えてください。
test,19,version_diff,株式会社青嶺不動産アセットマネジメント,partial,"schedule rows extracted, but diff logic is not implemented",青嶺不動産アセットマネジメントのスケジュール_r2.xlsxにおいて、2025-08-11から2025-09-09の間に開始日または終了日が設定されているタスクIDをすべて挙げてください。
test,25,spreadsheet_state,白峰信用リスク評価株式会社,not_covered,train.xlsx extraction is not implemented yet,白峰信用リスク評価のtrain.xlsxにおいて、青色ハイライト部分の合計値を求めてください。四捨五入して整数で答えてください。
