split,index,question,primary_type,secondary_types,source_section,answer_shape,risk,required_extractor,notes
valid,0,青潮モビリティサービスの最終報告における、モビリティ需要の要因分析のページで、マーカーされている単語をすべて抜き出してください。,office_style,list_extraction,06.報告書,list,high,office_style_extractor,auto_labeled_initial_pass
valid,1,KSSのfigure_06.pngにおいて、dayによる件数推移とあわせて表示されているTG平均が最も低い日は何日ですか。,image_graph,spreadsheet_calc;internal_terms;numeric_exact,04.分析,date_or_duration,high,vlm_or_chart_extractor,auto_labeled_initial_pass
valid,2,恒一会 かえで総合病院の提案書内で、重視するとされている評価指標を答えてください。,single_text,,00.提案,single_text,low,text_retriever,auto_labeled_initial_pass
valid,3,全案件で支払った税込金額をもとに、消費税額の総額を計算してください。,cross_project,contract_rule;numeric_exact,cross_project,money,high,cross_project_registry,auto_labeled_initial_pass
valid,4,青嶺不動産アセットマネジメントの modeling.py において、前処理器の sparse_output が False になる model_type は何ですか。,code_static,,04.分析,single_text,low,code_static_extractor,auto_labeled_initial_pass
valid,5,白峰信用リスク評価の最終報告書において、「プロジェクト目的とスコープ」内でAPI化はどの分類に記載されていますか。,single_text,,06.報告書,single_text,low,text_retriever,auto_labeled_initial_pass
valid,6,恒一会 かえで総合病院のtrain.xlsx内の PivotTable で集計されている表から、ALPの平均が最も高いものの抽出条件を教えてください。,spreadsheet_state,spreadsheet_calc;list_extraction;numeric_exact,03.データ,list,high,spreadsheet_extractor,auto_labeled_initial_pass
valid,7,恒一会 かえで総合病院のプロジェクトデータ（train.csv）において、disease=1の女性の中で、ALT_GPTの平均値が最も高い年齢は何歳ですか。,spreadsheet_calc,numeric_exact,03.データ,date_or_duration,medium,table_calc_engine,auto_labeled_initial_pass
valid,8,蒼泉会 ひがし丘総合病院の契約条件において、仮に実績工数が見込工数の4分の3だった場合、最終請求金額（税込）は見込金額（税込）よりいくら少なくなりますか。,contract_rule,internal_terms;numeric_exact,01.契約,money,medium,contract_rule_extractor,auto_labeled_initial_pass
valid,9,青嶺不動産アセットマネジメントの提案書について、oldフォルダ内の旧版と提案フォルダ直下の最新版を比較し、変更された箇所を変更前と変更後で答えてください。,version_diff,,00.提案,diff,high,version_diff_extractor,auto_labeled_initial_pass
